time,command_i1,command_i2,set_v1,set_v2,i1,i2,pos1,pos2,vel1,vel2
1669426399.4832976,0.1,-0.1,0,0,0.12558746337890625,-0.09695577621459961,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.4942648,0.1,-0.1,0,0,0.09967947006225586,-0.09994983673095703,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.5052574,0.1,-0.1,0,0,0.11115074157714844,-0.0930633544921875,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.5162232,0.1,-0.1,0,0,0.08524417877197266,-0.0874471664428711,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.5271647,0.1,-0.1,0,0,0.09730768203735352,-0.07494878768920898,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.5372093,0.1,-0.1,0,0,0.12617969512939453,-0.009746074676513672,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.548098,0.1,-0.1,0,0,-0.00908517837524414,-0.05548238754272461,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.5581067,0.1,-0.1,0,0,0.11470842361450195,-0.11244964599609375,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.5690684,0.1,-0.1,0,0,0.050045013427734375,-0.11244964599609375,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.5800095,0.1,-0.1,0,0,0.10700082778930664,-0.06499099731445312,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.590999,0.1,-0.1,0,0,0.12617969512939453,-0.07666969299316406,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.6019661,0.1,-0.1,0,0,0.06507539749145508,-0.11589288711547852,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.6129348,0.1,-0.1,0,0,0.10541439056396484,-0.08916807174682617,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.6239095,0.1,-0.1,0,0,0.14634990692138672,-0.09044122695922852,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.63395,0.1,-0.1,0,0,0.0783233642578125,-0.0818338394165039,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.6449194,0.1,-0.1,0,0,0.12380790710449219,-0.041710853576660156,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.6558888,0.1,-0.1,0,0,0.09967947006225586,-0.08572626113891602,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.6668582,0.1,-0.1,0,0,0.062896728515625,-0.06626129150390625,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.6778266,0.1,-0.1,0,0,0.06804084777832031,-0.06544017791748047,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.6887941,0.1,-0.1,0,0,0.08643007278442383,-0.14957857131958008,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.6997674,0.1,-0.1,0,0,0.09552812576293945,-0.2574462890625,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.710733,0.1,-0.1,0,0,0.14634990692138672,-0.06843280792236328,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.721704,0.1,-0.1,0,0,0.14002275466918945,-0.147857666015625,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.7326832,0.1,-0.1,0,0,0.0923609733581543,-0.06499099731445312,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.7436457,0.1,-0.1,0,0,0.007332801818847656,-0.047324180603027344,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.7546499,0.1,-0.1,0,0,0.14061641693115234,-0.1431427001953125,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.7655404,0.1,-0.1,0,0,0.08287239074707031,-0.1581859588623047,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.7755618,0.1,-0.1,0,0,0.12617969512939453,-0.13879966735839844,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.786459,0.1,-0.1,0,0,0.07713747024536133,-0.12367630004882812,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.797415,0.1,-0.1,0,0,0.05123090744018555,-0.1081838607788086,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.8074353,0.1,-0.1,0,0,0.08168649673461914,-0.07621908187866211,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.8183897,0.1,-0.1,0,0,0.1629624366760254,-0.15220069885253906,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.828552,0.1,-0.1,0,0,0.16533422470092773,-0.11806440353393555,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.8393776,0.1,-0.1,0,0,0.12499380111694336,-0.12846994400024414,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.8503456,0.1,-0.1,0,0,0.08227872848510742,-0.09822750091552734,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.8613102,0.1,-0.1,0,0,0.08820962905883789,-0.09089040756225586,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.8722293,0.1,-0.1,0,0,0.08228015899658203,-0.10384225845336914,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
